,Year,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
10,1932,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
11,1933,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
12,1934,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
13,1935,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
14,1936,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
15,1937,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
16,1938,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
17,1939,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
18,1940,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
19,1941,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
20,1942,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
21,1943,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
22,1944,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
23,1945,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
24,1946,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
25,1947,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
26,1948,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
27,1949,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
28,1950,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
29,1951,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
30,1952,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
31,1953,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
32,1954,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
33,1955,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
34,1956,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
35,1957,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
36,1958,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
37,1959,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
38,1960,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
39,1961,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
40,1962,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
41,1963,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
42,1964,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
43,1965,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
44,1966,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
45,1967,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
46,1968,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
47,1969,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
48,1970,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
49,1971,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
50,1972,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
51,1973,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
52,1974,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
53,1975,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
54,1976,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
55,1977,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
56,1978,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
57,1979,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
58,1980,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
59,1981,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
60,1982,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
61,1983,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
62,1984,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
63,1985,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
64,1986,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
65,1987,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
66,1988,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
67,1989,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
68,1990,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
69,1991,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
70,1992,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
71,1993,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
72,1994,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
73,1995,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
74,1996,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
75,1997,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
76,1998,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
77,1999,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
78,2000,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
79,2001,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
80,2002,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
81,2003,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
82,2004,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
83,2005,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
84,2006,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
85,2007,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
86,2008,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
87,2009,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
88,2010,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
89,2011,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
90,2012,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
91,2013,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
92,2014,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
93,2015,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
