,Year,City of Folsom,City of Redding,City of Roseville,City of West Sacramento,Yuba City,El Dorado Irrigation District,Napa County Flood Control & Water Conservation District,Placer County Water Agency,Sacramento County Water Agency,San Juan Water District,Shasta Contractors,Solano County Water Agency,City of Avenal,City of Coalinga,City of Fresno,City of Huron,City of Lindsay,City of Orange Cove,City of Tracy,Kern County Water Agency,Other Friant-Kern M&I Contractors,Stockton-East Water District,"Alameda County Flood Control and Water Conservation District, Zone 7",Alameda County Water District,Contra Costa Water District,East Bay Municipal Utilities District,"San Benito County Water District, Zone 6",Santa Clara Valley Water District,San Luis Obispo County Flood Control & Water Conservation District,Santa Barbara County Flood Control & Water Conservation District,Antelope Valley-East Kern Water Agency,Santa Clarita Water Division,Coachella Valley Water District,Crestline-Lake Arrowhead Water Agency,Desert Water Agency,Metropolitan Water District of Southern California,Mojave Water Agency,Palmdale Water District & Littlerock Creek Irrigation District,San Bernardino Valley Municipal Water District,San Gabriel Valley Municipal Water District,San Gorgonio Pass Water Agency,Ventura County Watershed Protection District
10,1932,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
11,1933,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
12,1934,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
13,1935,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
14,1936,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
15,1937,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
16,1938,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
17,1939,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
18,1940,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
19,1941,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
20,1942,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
21,1943,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
22,1944,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
23,1945,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
24,1946,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
25,1947,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
26,1948,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
27,1949,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
28,1950,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
29,1951,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
30,1952,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
31,1953,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
32,1954,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
33,1955,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
34,1956,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
35,1957,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
36,1958,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
37,1959,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
38,1960,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
39,1961,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
40,1962,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
41,1963,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
42,1964,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
43,1965,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
44,1966,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
45,1967,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
46,1968,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
47,1969,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
48,1970,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
49,1971,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
50,1972,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
51,1973,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
52,1974,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
53,1975,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
54,1976,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
55,1977,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
56,1978,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
57,1979,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
58,1980,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
59,1981,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
60,1982,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
61,1983,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
62,1984,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
63,1985,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
64,1986,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
65,1987,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
66,1988,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
67,1989,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
68,1990,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
69,1991,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
70,1992,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
71,1993,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
72,1994,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
73,1995,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
74,1996,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
75,1997,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
76,1998,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
77,1999,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
78,2000,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
79,2001,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
80,2002,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
81,2003,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
82,2004,29527,25241,52333,20397,25177,51697,22400,155954,64288,71314,11942,230293,4500,11000,275100,4000,3689,3790,27750,65075,7000,74257,76500,72800,216471,249000,7425,410370,9730,77464,86940,106313,189500,3250,48268,4456000,160079,31186,306447,51950,67420,6000
83,2005,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
84,2006,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
85,2007,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
86,2008,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
87,2009,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
88,2010,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
89,2011,28527,24241,51333,19397,24177,50697,21400,154954,63288,70314,10942,229293,3500,10000,274100,3000,2689,2790,26750,64075,6000,73257,75500,71800,215471,248000,6425,409370,8730,76464,85940,105313,188500,2250,47268,4455000,159079,30186,305447,50950,66420,5000
90,2012,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
91,2013,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
92,2014,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
93,2015,30527,26241,53333,21397,26177,52697,23400,156954,65288,72314,12942,231293,5500,12000,276100,5000,4689,4790,28750,66075,8000,75257,77500,73800,217471,250000,8425,411370,10730,78464,87940,107313,190500,4250,49268,4457000,161079,32186,307447,52950,68420,7000
