Variable,Contractor,2025,2030,2035,2040,2045,Notes
Desalination Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Desalination Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Desalination Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Desalination Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Desalination Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Desalination Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Desalination Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Desalination Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Desalination Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Butte County,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Recycled Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Recycled Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Recycled Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Recycled Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Recycled Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Recycled Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Recycled Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Recycled Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Recycled Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Recycled Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Recycled Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Recycled Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Recycled Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Recycled Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Recycled Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Butte County,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Potable Reuse Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Butte County,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Transfers and Exchanges Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Other Supply Cost ($/AF),Butte County,10,10,10,10,10,
Other Supply Cost ($/AF),City of Folsom,10,10,10,10,10,
Other Supply Cost ($/AF),City of Redding,10,10,10,10,10,
Other Supply Cost ($/AF),City of Roseville,10,10,10,10,10,
Other Supply Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Other Supply Cost ($/AF),Yuba City,10,10,10,10,10,
Other Supply Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Other Supply Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Other Supply Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),San Juan Water District,10,10,10,10,10,
Other Supply Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Other Supply Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),City of Avenal,10,10,10,10,10,
Other Supply Cost ($/AF),City of Coalinga,10,10,10,10,10,
Other Supply Cost ($/AF),City of Fresno,10,10,10,10,10,
Other Supply Cost ($/AF),City of Huron,10,10,10,10,10,
Other Supply Cost ($/AF),City of Lindsay,10,10,10,10,10,
Other Supply Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Other Supply Cost ($/AF),City of Tracy,10,10,10,10,10,
Other Supply Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Other Supply Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Other Supply Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Other Supply Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Other Supply Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Other Supply Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Other Supply Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Other Supply Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Other Supply Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Other Supply Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Other Supply Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Other Supply Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Other Supply Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Other Supply Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Other Supply Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Other Supply Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Other Supply Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Other Supply Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Other Supply Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Butte County,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Folsom,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Redding,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Roseville,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of West Sacramento,10,10,10,10,10,
Additional Conservation Cost ($/AF),Yuba City,10,10,10,10,10,
Additional Conservation Cost ($/AF),El Dorado Irrigation District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Napa County Flood Control & Water Conservation District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Placer County Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Sacramento County Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),San Juan Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Shasta Contractors,10,10,10,10,10,
Additional Conservation Cost ($/AF),Solano County Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Avenal,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Coalinga,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Fresno,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Huron,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Lindsay,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Orange Cove,10,10,10,10,10,
Additional Conservation Cost ($/AF),City of Tracy,10,10,10,10,10,
Additional Conservation Cost ($/AF),Kern County Water Agency Improvement District No 4,10,10,10,10,10,
Additional Conservation Cost ($/AF),Other Friant-Kern M&I Contractors,10,10,10,10,10,
Additional Conservation Cost ($/AF),Stockton-East Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",10,10,10,10,10,
Additional Conservation Cost ($/AF),Alameda County Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Contra Costa Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),East Bay Municipal Utilities District,10,10,10,10,10,
Additional Conservation Cost ($/AF),"San Benito County Water District, Zone 6",10,10,10,10,10,
Additional Conservation Cost ($/AF),Santa Clara Valley Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),San Luis Obispo County Flood Control & Water Conservation District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Santa Barbara County Flood Control & Water Conservation District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Antelope Valley-East Kern Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Santa Clarita Water Division,10,10,10,10,10,
Additional Conservation Cost ($/AF),Coachella Valley Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),Crestline-Lake Arrowhead Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Desert Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Metropolitan Water District of Southern California,10,10,10,10,10,
Additional Conservation Cost ($/AF),Mojave Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,10,10,10,10,10,
Additional Conservation Cost ($/AF),San Bernardino Valley Municipal Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),San Gabriel Valley Municipal Water District,10,10,10,10,10,
Additional Conservation Cost ($/AF),San Gorgonio Pass Water Agency,10,10,10,10,10,
Additional Conservation Cost ($/AF),Ventura County Watershed Protection District,10,10,10,10,10,
