Variable,Contractor,Value,Notes
Elasticity of Demand Multi-Family Residential,Solano County Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,City of Avenal,-0.12,
Elasticity of Demand Multi-Family Residential,City of Coalinga,-0.12,
Elasticity of Demand Multi-Family Residential,City of Fresno,-0.12,
Elasticity of Demand Multi-Family Residential,City of Huron,-0.12,
Elasticity of Demand Multi-Family Residential,City of Lindsay,-0.12,
Elasticity of Demand Multi-Family Residential,City of Orange Cove,-0.12,
Elasticity of Demand Multi-Family Residential,City of Tracy,-0.12,
Elasticity of Demand Multi-Family Residential,Kern County Water Agency Improvement District No 4,-0.12,
Elasticity of Demand Multi-Family Residential,Other Friant-Kern M&I Contractors,-0.12,
Elasticity of Demand Multi-Family Residential,Stockton-East Water District,-0.12,
Elasticity of Demand Multi-Family Residential,"Alameda County Flood Control and Water Conservation District, Zone 7",-0.12,
Elasticity of Demand Multi-Family Residential,Alameda County Water District,-0.12,
Elasticity of Demand Multi-Family Residential,Contra Costa Water District,-0.12,
Elasticity of Demand Multi-Family Residential,East Bay Municipal Utilities District,-0.12,
Elasticity of Demand Multi-Family Residential,"San Benito County Water District, Zone 6",-0.12,
Elasticity of Demand Multi-Family Residential,Santa Clara Valley Water District,-0.12,
Elasticity of Demand Multi-Family Residential,San Luis Obispo County Flood Control & Water Conservation District,-0.12,
Elasticity of Demand Multi-Family Residential,Santa Barbara County Flood Control & Water Conservation District,-0.12,
Elasticity of Demand Multi-Family Residential,Antelope Valley-East Kern Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Santa Clarita Water Division,-0.12,
Elasticity of Demand Multi-Family Residential,Coachella Valley Water District,-0.12,
Elasticity of Demand Multi-Family Residential,Crestline-Lake Arrowhead Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Desert Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Metropolitan Water District of Southern California,-0.12,
Elasticity of Demand Multi-Family Residential,Mojave Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Palmdale Water District & Littlerock Creek Irrigation District,-0.12,
Elasticity of Demand Multi-Family Residential,San Bernardino Valley Municipal Water District,-0.12,
Elasticity of Demand Multi-Family Residential,San Gabriel Valley Municipal Water District,-0.12,
Elasticity of Demand Multi-Family Residential,San Gorgonio Pass Water Agency,-0.12,
Elasticity of Demand Multi-Family Residential,Ventura County Watershed Protection District,-0.12,
Elasticity of Demand Industrial,Butte County,-0.1,
Elasticity of Demand Industrial,City of Folsom,-0.1,
Elasticity of Demand Industrial,City of Redding,-0.1,
Elasticity of Demand Industrial,City of Roseville,-0.1,
Elasticity of Demand Industrial,City of West Sacramento,-0.1,
Elasticity of Demand Industrial,Yuba City,-0.1,
Elasticity of Demand Industrial,El Dorado Irrigation District,-0.1,
Elasticity of Demand Industrial,Napa County Flood Control & Water Conservation District,-0.1,
Elasticity of Demand Industrial,Placer County Water Agency,-0.1,
Elasticity of Demand Industrial,Sacramento County Water Agency,-0.1,
Elasticity of Demand Industrial,San Juan Water District,-0.1,
Elasticity of Demand Industrial,Shasta Contractors,-0.1,
Elasticity of Demand Industrial,Solano County Water Agency,-0.1,
Elasticity of Demand Industrial,City of Avenal,-0.1,
Elasticity of Demand Industrial,City of Coalinga,-0.1,
Elasticity of Demand Industrial,City of Fresno,-0.1,
Elasticity of Demand Industrial,City of Huron,-0.1,
Elasticity of Demand Industrial,City of Lindsay,-0.1,
Elasticity of Demand Industrial,City of Orange Cove,-0.1,
Elasticity of Demand Industrial,City of Tracy,-0.1,
Elasticity of Demand Industrial,Kern County Water Agency Improvement District No 4,-0.1,
Elasticity of Demand Industrial,Other Friant-Kern M&I Contractors,-0.1,
Elasticity of Demand Industrial,Stockton-East Water District,-0.1,
Elasticity of Demand Industrial,"Alameda County Flood Control and Water Conservation District, Zone 7",-0.1,
Elasticity of Demand Industrial,Alameda County Water District,-0.1,
Elasticity of Demand Industrial,Contra Costa Water District,-0.1,
Elasticity of Demand Industrial,East Bay Municipal Utilities District,-0.1,
Elasticity of Demand Industrial,"San Benito County Water District, Zone 6",-0.1,
Elasticity of Demand Industrial,Santa Clara Valley Water District,-0.1,
Elasticity of Demand Industrial,San Luis Obispo County Flood Control & Water Conservation District,-0.1,
Elasticity of Demand Industrial,Santa Barbara County Flood Control & Water Conservation District,-0.1,
Elasticity of Demand Industrial,Antelope Valley-East Kern Water Agency,-0.1,
Elasticity of Demand Industrial,Santa Clarita Water Division,-0.1,
Elasticity of Demand Industrial,Coachella Valley Water District,-0.1,
Elasticity of Demand Industrial,Crestline-Lake Arrowhead Water Agency,-0.1,
Elasticity of Demand Industrial,Desert Water Agency,-0.1,
Elasticity of Demand Industrial,Metropolitan Water District of Southern California,-0.1,
Elasticity of Demand Industrial,Mojave Water Agency,-0.1,
Elasticity of Demand Industrial,Palmdale Water District & Littlerock Creek Irrigation District,-0.1,
Elasticity of Demand Industrial,San Bernardino Valley Municipal Water District,-0.1,
Elasticity of Demand Industrial,San Gabriel Valley Municipal Water District,-0.1,
Elasticity of Demand Industrial,San Gorgonio Pass Water Agency,-0.1,
Elasticity of Demand Industrial,Ventura County Watershed Protection District,-0.1,
Elasticity of Demand Commercial and Governmental,Butte County,-0.11,
Elasticity of Demand Commercial and Governmental,City of Folsom,-0.11,
Elasticity of Demand Commercial and Governmental,City of Redding,-0.11,
Elasticity of Demand Commercial and Governmental,City of Roseville,-0.11,
Elasticity of Demand Commercial and Governmental,City of West Sacramento,-0.11,
Elasticity of Demand Commercial and Governmental,Yuba City,-0.11,
Elasticity of Demand Commercial and Governmental,El Dorado Irrigation District,-0.11,
Elasticity of Demand Commercial and Governmental,Napa County Flood Control & Water Conservation District,-0.11,
Elasticity of Demand Commercial and Governmental,Placer County Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Sacramento County Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,San Juan Water District,-0.11,
Elasticity of Demand Commercial and Governmental,Shasta Contractors,-0.11,
Elasticity of Demand Commercial and Governmental,Solano County Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,City of Avenal,-0.11,
Elasticity of Demand Commercial and Governmental,City of Coalinga,-0.11,
Elasticity of Demand Commercial and Governmental,City of Fresno,-0.11,
Elasticity of Demand Commercial and Governmental,City of Huron,-0.11,
Elasticity of Demand Commercial and Governmental,City of Lindsay,-0.11,
Elasticity of Demand Commercial and Governmental,City of Orange Cove,-0.11,
Elasticity of Demand Commercial and Governmental,City of Tracy,-0.11,
Elasticity of Demand Commercial and Governmental,Kern County Water Agency Improvement District No 4,-0.11,
Elasticity of Demand Commercial and Governmental,Other Friant-Kern M&I Contractors,-0.11,
Elasticity of Demand Commercial and Governmental,Stockton-East Water District,-0.11,
Elasticity of Demand Commercial and Governmental,"Alameda County Flood Control and Water Conservation District, Zone 7",-0.11,
Elasticity of Demand Commercial and Governmental,Alameda County Water District,-0.11,
Elasticity of Demand Commercial and Governmental,Contra Costa Water District,-0.11,
Elasticity of Demand Commercial and Governmental,East Bay Municipal Utilities District,-0.11,
Elasticity of Demand Commercial and Governmental,"San Benito County Water District, Zone 6",-0.11,
Elasticity of Demand Commercial and Governmental,Santa Clara Valley Water District,-0.11,
Elasticity of Demand Commercial and Governmental,San Luis Obispo County Flood Control & Water Conservation District,-0.11,
Elasticity of Demand Commercial and Governmental,Santa Barbara County Flood Control & Water Conservation District,-0.11,
Elasticity of Demand Commercial and Governmental,Antelope Valley-East Kern Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Santa Clarita Water Division,-0.11,
Elasticity of Demand Commercial and Governmental,Coachella Valley Water District,-0.11,
Elasticity of Demand Commercial and Governmental,Crestline-Lake Arrowhead Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Desert Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Metropolitan Water District of Southern California,-0.11,
Elasticity of Demand Commercial and Governmental,Mojave Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Palmdale Water District & Littlerock Creek Irrigation District,-0.11,
Elasticity of Demand Commercial and Governmental,San Bernardino Valley Municipal Water District,-0.11,
Elasticity of Demand Commercial and Governmental,San Gabriel Valley Municipal Water District,-0.11,
Elasticity of Demand Commercial and Governmental,San Gorgonio Pass Water Agency,-0.11,
Elasticity of Demand Commercial and Governmental,Ventura County Watershed Protection District,-0.11,
Elasticity of Demand Landscape,Butte County,-0.4,
Elasticity of Demand Landscape,City of Folsom,-0.4,
Elasticity of Demand Landscape,City of Redding,-0.4,
Elasticity of Demand Landscape,City of Roseville,-0.4,
Elasticity of Demand Landscape,City of West Sacramento,-0.4,
Elasticity of Demand Landscape,Yuba City,-0.4,
Elasticity of Demand Landscape,El Dorado Irrigation District,-0.4,
Elasticity of Demand Landscape,Napa County Flood Control & Water Conservation District,-0.4,
Elasticity of Demand Landscape,Placer County Water Agency,-0.4,
Elasticity of Demand Landscape,Sacramento County Water Agency,-0.4,
Elasticity of Demand Landscape,San Juan Water District,-0.4,
Elasticity of Demand Landscape,Shasta Contractors,-0.4,
Elasticity of Demand Landscape,Solano County Water Agency,-0.4,
Elasticity of Demand Landscape,City of Avenal,-0.4,
Elasticity of Demand Landscape,City of Coalinga,-0.4,
Elasticity of Demand Landscape,City of Fresno,-0.4,
Elasticity of Demand Landscape,City of Huron,-0.4,
Elasticity of Demand Landscape,City of Lindsay,-0.4,
Elasticity of Demand Landscape,City of Orange Cove,-0.4,
Elasticity of Demand Landscape,City of Tracy,-0.4,
Elasticity of Demand Landscape,Kern County Water Agency Improvement District No 4,-0.4,
Elasticity of Demand Landscape,Other Friant-Kern M&I Contractors,-0.4,
Elasticity of Demand Landscape,Stockton-East Water District,-0.4,
Elasticity of Demand Landscape,"Alameda County Flood Control and Water Conservation District, Zone 7",-0.4,
Elasticity of Demand Landscape,Alameda County Water District,-0.4,
Elasticity of Demand Landscape,Contra Costa Water District,-0.4,
Elasticity of Demand Landscape,East Bay Municipal Utilities District,-0.4,
Elasticity of Demand Landscape,"San Benito County Water District, Zone 6",-0.4,
Elasticity of Demand Landscape,Santa Clara Valley Water District,-0.4,
Elasticity of Demand Landscape,San Luis Obispo County Flood Control & Water Conservation District,-0.4,
Elasticity of Demand Landscape,Santa Barbara County Flood Control & Water Conservation District,-0.4,
Elasticity of Demand Landscape,Antelope Valley-East Kern Water Agency,-0.4,
Elasticity of Demand Landscape,Santa Clarita Water Division,-0.4,
Elasticity of Demand Landscape,Coachella Valley Water District,-0.4,
Elasticity of Demand Landscape,Crestline-Lake Arrowhead Water Agency,-0.4,
Elasticity of Demand Landscape,Desert Water Agency,-0.4,
Elasticity of Demand Landscape,Metropolitan Water District of Southern California,-0.4,
Elasticity of Demand Landscape,Mojave Water Agency,-0.4,
Elasticity of Demand Landscape,Palmdale Water District & Littlerock Creek Irrigation District,-0.4,
Elasticity of Demand Landscape,San Bernardino Valley Municipal Water District,-0.4,
Elasticity of Demand Landscape,San Gabriel Valley Municipal Water District,-0.4,
Elasticity of Demand Landscape,San Gorgonio Pass Water Agency,-0.4,
Elasticity of Demand Landscape,Ventura County Watershed Protection District,-0.4,
Lower Loss Boundary,Butte County,0,
Lower Loss Boundary,City of Folsom,0,
Lower Loss Boundary,City of Redding,0,
Lower Loss Boundary,City of Roseville,0,
Lower Loss Boundary,City of West Sacramento,0,
Lower Loss Boundary,Yuba City,0,
Lower Loss Boundary,El Dorado Irrigation District,0,
Lower Loss Boundary,Napa County Flood Control & Water Conservation District,0,
Lower Loss Boundary,Placer County Water Agency,0,
Lower Loss Boundary,Sacramento County Water Agency,0,
Lower Loss Boundary,San Juan Water District,0,
Lower Loss Boundary,Shasta Contractors,0,
Lower Loss Boundary,Solano County Water Agency,0,
Lower Loss Boundary,City of Avenal,0,
Lower Loss Boundary,City of Coalinga,0,
Lower Loss Boundary,City of Fresno,0,
Lower Loss Boundary,City of Huron,0,
Lower Loss Boundary,City of Lindsay,0,
Lower Loss Boundary,City of Orange Cove,0,
Lower Loss Boundary,City of Tracy,0,
Lower Loss Boundary,Kern County Water Agency Improvement District No 4,0,
Lower Loss Boundary,Other Friant-Kern M&I Contractors,0,
Lower Loss Boundary,Stockton-East Water District,0,
Lower Loss Boundary,"Alameda County Flood Control and Water Conservation District, Zone 7",0,
Lower Loss Boundary,Alameda County Water District,0,
Lower Loss Boundary,Contra Costa Water District,0,
Lower Loss Boundary,East Bay Municipal Utilities District,0,
Lower Loss Boundary,"San Benito County Water District, Zone 6",0,
Lower Loss Boundary,Santa Clara Valley Water District,0,
Lower Loss Boundary,San Luis Obispo County Flood Control & Water Conservation District,0,
Lower Loss Boundary,Santa Barbara County Flood Control & Water Conservation District,0,
Lower Loss Boundary,Antelope Valley-East Kern Water Agency,0,
Lower Loss Boundary,Santa Clarita Water Division,0,
Lower Loss Boundary,Coachella Valley Water District,0,
Lower Loss Boundary,Crestline-Lake Arrowhead Water Agency,0,
Lower Loss Boundary,Desert Water Agency,0,
Lower Loss Boundary,Metropolitan Water District of Southern California,0,
Lower Loss Boundary,Mojave Water Agency,0,
Lower Loss Boundary,Palmdale Water District & Littlerock Creek Irrigation District,0,
Lower Loss Boundary,San Bernardino Valley Municipal Water District,0,
Lower Loss Boundary,San Gabriel Valley Municipal Water District,0,
Lower Loss Boundary,San Gorgonio Pass Water Agency,0,
Lower Loss Boundary,Ventura County Watershed Protection District,0,
Upper Loss Boundary,Butte County,0.7,
Upper Loss Boundary,City of Folsom,0.7,
Upper Loss Boundary,City of Redding,0.7,
Upper Loss Boundary,City of Roseville,0.7,
Upper Loss Boundary,City of West Sacramento,0.7,
Upper Loss Boundary,Yuba City,0.7,
Upper Loss Boundary,El Dorado Irrigation District,0.7,
Upper Loss Boundary,Napa County Flood Control & Water Conservation District,0.7,
Upper Loss Boundary,Placer County Water Agency,0.7,
Upper Loss Boundary,Sacramento County Water Agency,0.7,
Upper Loss Boundary,San Juan Water District,0.7,
Upper Loss Boundary,Shasta Contractors,0.7,
Upper Loss Boundary,Solano County Water Agency,0.7,
Upper Loss Boundary,City of Avenal,0.7,
Upper Loss Boundary,City of Coalinga,0.7,
Upper Loss Boundary,City of Fresno,0.7,
Upper Loss Boundary,City of Huron,0.7,
Upper Loss Boundary,City of Lindsay,0.7,
Upper Loss Boundary,City of Orange Cove,0.7,
Upper Loss Boundary,City of Tracy,0.7,
Upper Loss Boundary,Kern County Water Agency Improvement District No 4,0.7,
Upper Loss Boundary,Other Friant-Kern M&I Contractors,0.7,
Upper Loss Boundary,Stockton-East Water District,0.7,
Upper Loss Boundary,"Alameda County Flood Control and Water Conservation District, Zone 7",0.7,
Upper Loss Boundary,Alameda County Water District,0.7,
Upper Loss Boundary,Contra Costa Water District,0.7,
Upper Loss Boundary,East Bay Municipal Utilities District,0.7,
Upper Loss Boundary,"San Benito County Water District, Zone 6",0.7,
Upper Loss Boundary,Santa Clara Valley Water District,0.7,
Upper Loss Boundary,San Luis Obispo County Flood Control & Water Conservation District,0.7,
Upper Loss Boundary,Santa Barbara County Flood Control & Water Conservation District,0.7,
Upper Loss Boundary,Antelope Valley-East Kern Water Agency,0.7,
Upper Loss Boundary,Santa Clarita Water Division,0.7,
Upper Loss Boundary,Coachella Valley Water District,0.7,
Upper Loss Boundary,Crestline-Lake Arrowhead Water Agency,0.7,
Upper Loss Boundary,Desert Water Agency,0.7,
Upper Loss Boundary,Metropolitan Water District of Southern California,0.7,
Upper Loss Boundary,Mojave Water Agency,0.7,
Upper Loss Boundary,Palmdale Water District & Littlerock Creek Irrigation District,0.7,
Upper Loss Boundary,San Bernardino Valley Municipal Water District,0.7,
Upper Loss Boundary,San Gabriel Valley Municipal Water District,0.7,
Upper Loss Boundary,San Gorgonio Pass Water Agency,0.7,
Upper Loss Boundary,Ventura County Watershed Protection District,0.7,
