,Type,Study Region,Contractor,Year,Value,k_labels,colors,Rank
23,Surface,San Francisco Bay Area,Alameda County Water District,2025,1,0,#F63366,463
24,Surface,San Francisco Bay Area,Contra Costa Water District,2025,1,0,#F63366,463
25,Surface,San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,0,#F63366,463
26,Surface,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,0,#F63366,463
27,Surface,San Francisco Bay Area,Santa Clara Valley Water District,2025,1,0,#F63366,463
28,Surface,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,0,#F63366,463
29,Surface,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,0,#F63366,463
30,Surface,Southern California,Antelope Valley-East Kern Water Agency,2025,1,0,#F63366,463
31,Surface,Southern California,Santa Clarita Water Division,2025,1,0,#F63366,463
32,Surface,Southern California,Coachella Valley Water District,2025,1,0,#F63366,463
33,Surface,Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,0,#F63366,463
34,Surface,Southern California,Desert Water Agency,2025,1,0,#F63366,463
35,Surface,Southern California,Metropolitan Water District of Southern California,2025,1,0,#F63366,463
36,Surface,Southern California,Mojave Water Agency,2025,1,0,#F63366,463
37,Surface,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,0,#F63366,463
38,Surface,Southern California,San Bernardino Valley Municipal Water District,2025,1,0,#F63366,463
39,Surface,Southern California,San Gabriel Valley Municipal Water District,2025,1,0,#F63366,463
40,Surface,Southern California,San Gorgonio Pass Water Agency,2025,1,0,#F63366,463
41,Surface,Southern California,Ventura County Watershed Protection District,2025,1,0,#F63366,463
42,Groundwater,Central Valley - Sacramento Valley,City of Folsom,2025,2,1,#2BB1BB,273
43,Groundwater,Central Valley - Sacramento Valley,City of Redding,2025,2,1,#2BB1BB,273
44,Groundwater,Central Valley - Sacramento Valley,City of Roseville,2025,2,1,#2BB1BB,273
45,Groundwater,Central Valley - Sacramento Valley,City of West Sacramento,2025,2,1,#2BB1BB,273
46,Groundwater,Central Valley - Sacramento Valley,Yuba City,2025,2,1,#2BB1BB,273
47,Groundwater,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,2,1,#2BB1BB,273
48,Groundwater,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,2,1,#2BB1BB,273
49,Groundwater,Central Valley - Sacramento Valley,Placer County Water Agency,2025,2,1,#2BB1BB,273
50,Groundwater,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,2,1,#2BB1BB,273
51,Groundwater,Central Valley - Sacramento Valley,San Juan Water District,2025,2,1,#2BB1BB,273
52,Groundwater,Central Valley - Sacramento Valley,Shasta Contractors,2025,2,1,#2BB1BB,273
53,Groundwater,Central Valley - Sacramento Valley,Solano County Water Agency,2025,2,1,#2BB1BB,273
54,Groundwater,Central Valley - San Joaquin Valley,City of Avenal,2025,2,1,#2BB1BB,273
55,Groundwater,Central Valley - San Joaquin Valley,City of Coalinga,2025,2,1,#2BB1BB,273
56,Groundwater,Central Valley - San Joaquin Valley,City of Fresno,2025,2,1,#2BB1BB,273
57,Groundwater,Central Valley - San Joaquin Valley,City of Huron,2025,2,1,#2BB1BB,273
58,Groundwater,Central Valley - San Joaquin Valley,City of Lindsay,2025,2,1,#2BB1BB,273
59,Groundwater,Central Valley - San Joaquin Valley,City of Orange Cove,2025,2,1,#2BB1BB,273
60,Groundwater,Central Valley - San Joaquin Valley,City of Tracy,2025,2,1,#2BB1BB,273
61,Groundwater,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,2,1,#2BB1BB,273
62,Groundwater,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,2,1,#2BB1BB,273
63,Groundwater,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,2,1,#2BB1BB,273
64,Groundwater,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,2,1,#2BB1BB,273
65,Groundwater,San Francisco Bay Area,Alameda County Water District,2025,2,1,#2BB1BB,273
66,Groundwater,San Francisco Bay Area,Contra Costa Water District,2025,2,1,#2BB1BB,273
67,Groundwater,San Francisco Bay Area,East Bay Municipal Utilities District,2025,2,1,#2BB1BB,273
68,Groundwater,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,2,1,#2BB1BB,273
69,Groundwater,San Francisco Bay Area,Santa Clara Valley Water District,2025,2,1,#2BB1BB,273
70,Groundwater,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,2,1,#2BB1BB,273
71,Groundwater,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,2,1,#2BB1BB,273
72,Groundwater,Southern California,Antelope Valley-East Kern Water Agency,2025,2,1,#2BB1BB,273
73,Groundwater,Southern California,Santa Clarita Water Division,2025,2,1,#2BB1BB,273
74,Groundwater,Southern California,Coachella Valley Water District,2025,2,1,#2BB1BB,273
75,Groundwater,Southern California,Crestline-Lake Arrowhead Water Agency,2025,2,1,#2BB1BB,273
76,Groundwater,Southern California,Desert Water Agency,2025,2,1,#2BB1BB,273
77,Groundwater,Southern California,Metropolitan Water District of Southern California,2025,2,1,#2BB1BB,273
78,Groundwater,Southern California,Mojave Water Agency,2025,2,1,#2BB1BB,273
79,Groundwater,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,2,1,#2BB1BB,273
80,Groundwater,Southern California,San Bernardino Valley Municipal Water District,2025,2,1,#2BB1BB,273
81,Groundwater,Southern California,San Gabriel Valley Municipal Water District,2025,2,1,#2BB1BB,273
82,Groundwater,Southern California,San Gorgonio Pass Water Agency,2025,2,1,#2BB1BB,273
83,Groundwater,Southern California,Ventura County Watershed Protection District,2025,2,1,#2BB1BB,273
84,Desalination,Central Valley - Sacramento Valley,City of Folsom,2025,3,2,#22466B,83
85,Desalination,Central Valley - Sacramento Valley,City of Redding,2025,3,2,#22466B,83
86,Desalination,Central Valley - Sacramento Valley,City of Roseville,2025,3,2,#22466B,83
87,Desalination,Central Valley - Sacramento Valley,City of West Sacramento,2025,3,2,#22466B,83
88,Desalination,Central Valley - Sacramento Valley,Yuba City,2025,3,2,#22466B,83
89,Desalination,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,3,2,#22466B,83
90,Desalination,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,3,2,#22466B,83
91,Desalination,Central Valley - Sacramento Valley,Placer County Water Agency,2025,3,2,#22466B,83
92,Desalination,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,3,2,#22466B,83
93,Desalination,Central Valley - Sacramento Valley,San Juan Water District,2025,3,2,#22466B,83
94,Desalination,Central Valley - Sacramento Valley,Shasta Contractors,2025,3,2,#22466B,83
95,Desalination,Central Valley - Sacramento Valley,Solano County Water Agency,2025,3,2,#22466B,83
96,Desalination,Central Valley - San Joaquin Valley,City of Avenal,2025,3,2,#22466B,83
97,Desalination,Central Valley - San Joaquin Valley,City of Coalinga,2025,3,2,#22466B,83
98,Desalination,Central Valley - San Joaquin Valley,City of Fresno,2025,3,2,#22466B,83
99,Desalination,Central Valley - San Joaquin Valley,City of Huron,2025,3,2,#22466B,83
100,Desalination,Central Valley - San Joaquin Valley,City of Lindsay,2025,3,2,#22466B,83
101,Desalination,Central Valley - San Joaquin Valley,City of Orange Cove,2025,3,2,#22466B,83
102,Desalination,Central Valley - San Joaquin Valley,City of Tracy,2025,3,2,#22466B,83
103,Desalination,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,3,2,#22466B,83
104,Desalination,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,3,2,#22466B,83
105,Desalination,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,3,2,#22466B,83
106,Desalination,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,3,2,#22466B,83
107,Desalination,San Francisco Bay Area,Alameda County Water District,2025,3,2,#22466B,83
108,Desalination,San Francisco Bay Area,Contra Costa Water District,2025,3,2,#22466B,83
109,Desalination,San Francisco Bay Area,East Bay Municipal Utilities District,2025,3,2,#22466B,83
110,Desalination,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,3,2,#22466B,83
111,Desalination,San Francisco Bay Area,Santa Clara Valley Water District,2025,3,2,#22466B,83
112,Desalination,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,3,2,#22466B,83
113,Desalination,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,3,2,#22466B,83
114,Desalination,Southern California,Antelope Valley-East Kern Water Agency,2025,3,2,#22466B,83
115,Desalination,Southern California,Santa Clarita Water Division,2025,3,2,#22466B,83
116,Desalination,Southern California,Coachella Valley Water District,2025,3,2,#22466B,83
117,Desalination,Southern California,Crestline-Lake Arrowhead Water Agency,2025,3,2,#22466B,83
118,Desalination,Southern California,Desert Water Agency,2025,3,2,#22466B,83
119,Desalination,Southern California,Metropolitan Water District of Southern California,2025,3,2,#22466B,83
120,Desalination,Southern California,Mojave Water Agency,2025,3,2,#22466B,83
121,Desalination,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,3,2,#22466B,83
122,Desalination,Southern California,San Bernardino Valley Municipal Water District,2025,3,2,#22466B,83
123,Desalination,Southern California,San Gabriel Valley Municipal Water District,2025,3,2,#22466B,83
124,Desalination,Southern California,San Gorgonio Pass Water Agency,2025,3,2,#22466B,83
125,Desalination,Southern California,Ventura County Watershed Protection District,2025,3,2,#22466B,83
126,Stormwater Capture,Central Valley - Sacramento Valley,City of Folsom,2025,1,3,#FF7F50,58
127,Stormwater Capture,Central Valley - Sacramento Valley,City of Redding,2025,1,3,#FF7F50,60
128,Stormwater Capture,Central Valley - Sacramento Valley,City of Roseville,2025,1,3,#FF7F50,47
129,Stormwater Capture,Central Valley - Sacramento Valley,City of West Sacramento,2025,1,3,#FF7F50,63
130,Stormwater Capture,Central Valley - Sacramento Valley,Yuba City,2025,1,3,#FF7F50,61
131,Stormwater Capture,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,1,3,#FF7F50,51
132,Stormwater Capture,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,1,3,#FF7F50,62
133,Stormwater Capture,Central Valley - Sacramento Valley,Placer County Water Agency,2025,1,3,#FF7F50,24
134,Stormwater Capture,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,1,3,#FF7F50,46
135,Stormwater Capture,Central Valley - Sacramento Valley,San Juan Water District,2025,1,3,#FF7F50,43
136,Stormwater Capture,Central Valley - Sacramento Valley,Shasta Contractors,2025,1,3,#FF7F50,64
137,Stormwater Capture,Central Valley - Sacramento Valley,Solano County Water Agency,2025,1,3,#FF7F50,14
138,Stormwater Capture,Central Valley - San Joaquin Valley,City of Avenal,2025,1,3,#FF7F50,76
139,Stormwater Capture,Central Valley - San Joaquin Valley,City of Coalinga,2025,1,3,#FF7F50,65
140,Stormwater Capture,Central Valley - San Joaquin Valley,City of Fresno,2025,1,3,#FF7F50,10
141,Stormwater Capture,Central Valley - San Joaquin Valley,City of Huron,2025,1,3,#FF7F50,77
142,Stormwater Capture,Central Valley - San Joaquin Valley,City of Lindsay,2025,1,3,#FF7F50,79
143,Stormwater Capture,Central Valley - San Joaquin Valley,City of Orange Cove,2025,1,3,#FF7F50,78
144,Stormwater Capture,Central Valley - San Joaquin Valley,City of Tracy,2025,1,3,#FF7F50,59
145,Stormwater Capture,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,1,3,#FF7F50,45
146,Stormwater Capture,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,1,3,#FF7F50,72
147,Stormwater Capture,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,1,3,#FF7F50,37
148,Stormwater Capture,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,1,3,#FF7F50,34
149,Stormwater Capture,San Francisco Bay Area,Alameda County Water District,2025,1,3,#FF7F50,40
150,Stormwater Capture,San Francisco Bay Area,Contra Costa Water District,2025,1,3,#FF7F50,15
151,Stormwater Capture,San Francisco Bay Area,East Bay Municipal Utilities District,2025,1,3,#FF7F50,11
152,Stormwater Capture,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,1,3,#FF7F50,69
153,Stormwater Capture,San Francisco Bay Area,Santa Clara Valley Water District,2025,1,3,#FF7F50,4
154,Stormwater Capture,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,1,3,#FF7F50,66
155,Stormwater Capture,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,1,3,#FF7F50,31
156,Stormwater Capture,Southern California,Antelope Valley-East Kern Water Agency,2025,1,3,#FF7F50,28
157,Stormwater Capture,Southern California,Santa Clarita Water Division,2025,1,3,#FF7F50,25
158,Stormwater Capture,Southern California,Coachella Valley Water District,2025,1,3,#FF7F50,18
159,Stormwater Capture,Southern California,Crestline-Lake Arrowhead Water Agency,2025,1,3,#FF7F50,80
160,Stormwater Capture,Southern California,Desert Water Agency,2025,1,3,#FF7F50,52
161,Stormwater Capture,Southern California,Metropolitan Water District of Southern California,2025,1,3,#FF7F50,1
162,Stormwater Capture,Southern California,Mojave Water Agency,2025,1,3,#FF7F50,21
163,Stormwater Capture,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,1,3,#FF7F50,55
164,Stormwater Capture,Southern California,San Bernardino Valley Municipal Water District,2025,1,3,#FF7F50,7
165,Stormwater Capture,Southern California,San Gabriel Valley Municipal Water District,2025,1,3,#FF7F50,48
166,Stormwater Capture,Southern California,San Gorgonio Pass Water Agency,2025,1,3,#FF7F50,44
167,Stormwater Capture,Southern California,Ventura County Watershed Protection District,2025,1,3,#FF7F50,75
168,Contractual Transfers,Central Valley - Sacramento Valley,City of Folsom,2025,2,4,#DFFF00,273
169,Contractual Transfers,Central Valley - Sacramento Valley,City of Redding,2025,2,4,#DFFF00,273
170,Contractual Transfers,Central Valley - Sacramento Valley,City of Roseville,2025,2,4,#DFFF00,273
171,Contractual Transfers,Central Valley - Sacramento Valley,City of West Sacramento,2025,2,4,#DFFF00,273
172,Contractual Transfers,Central Valley - Sacramento Valley,Yuba City,2025,2,4,#DFFF00,273
173,Contractual Transfers,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,2,4,#DFFF00,273
174,Contractual Transfers,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,2,4,#DFFF00,273
175,Contractual Transfers,Central Valley - Sacramento Valley,Placer County Water Agency,2025,2,4,#DFFF00,72
176,Contractual Transfers,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,2,4,#DFFF00,37
177,Contractual Transfers,Central Valley - Sacramento Valley,San Juan Water District,2025,2,4,#DFFF00,34
178,Contractual Transfers,Central Valley - Sacramento Valley,Shasta Contractors,2025,2,4,#DFFF00,40
179,Contractual Transfers,Central Valley - Sacramento Valley,Solano County Water Agency,2025,2,4,#DFFF00,15
180,Contractual Transfers,Central Valley - San Joaquin Valley,City of Avenal,2025,2,4,#DFFF00,11
181,Contractual Transfers,Central Valley - San Joaquin Valley,City of Coalinga,2025,2,4,#DFFF00,69
182,Contractual Transfers,Central Valley - San Joaquin Valley,City of Fresno,2025,2,4,#DFFF00,4
183,Contractual Transfers,Central Valley - San Joaquin Valley,City of Huron,2025,2,4,#DFFF00,66
184,Contractual Transfers,Central Valley - San Joaquin Valley,City of Lindsay,2025,2,4,#DFFF00,31
185,Contractual Transfers,Central Valley - San Joaquin Valley,City of Orange Cove,2025,2,4,#DFFF00,28
186,Contractual Transfers,Central Valley - San Joaquin Valley,City of Tracy,2025,2,4,#DFFF00,25
187,Contractual Transfers,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,2,4,#DFFF00,18
188,Contractual Transfers,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,2,4,#DFFF00,80
189,Contractual Transfers,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,2,4,#DFFF00,52
190,Contractual Transfers,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,2,4,#DFFF00,1
191,Contractual Transfers,San Francisco Bay Area,Alameda County Water District,2025,2,4,#DFFF00,21
192,Contractual Transfers,San Francisco Bay Area,Contra Costa Water District,2025,2,4,#DFFF00,55
193,Contractual Transfers,San Francisco Bay Area,East Bay Municipal Utilities District,2025,2,4,#DFFF00,7
194,Contractual Transfers,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,2,4,#DFFF00,48
195,Contractual Transfers,San Francisco Bay Area,Santa Clara Valley Water District,2025,2,4,#DFFF00,273
196,Contractual Transfers,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,2,4,#DFFF00,273
197,Contractual Transfers,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,2,4,#DFFF00,273
198,Contractual Transfers,Southern California,Antelope Valley-East Kern Water Agency,2025,2,4,#DFFF00,273
199,Contractual Transfers,Southern California,Santa Clarita Water Division,2025,2,4,#DFFF00,273
200,Contractual Transfers,Southern California,Coachella Valley Water District,2025,2,4,#DFFF00,273
201,Contractual Transfers,Southern California,Crestline-Lake Arrowhead Water Agency,2025,2,4,#DFFF00,273
202,Contractual Transfers,Southern California,Desert Water Agency,2025,2,4,#DFFF00,273
203,Contractual Transfers,Southern California,Metropolitan Water District of Southern California,2025,2,4,#DFFF00,273
204,Contractual Transfers,Southern California,Mojave Water Agency,2025,2,4,#DFFF00,273
205,Contractual Transfers,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,2,4,#DFFF00,273
206,Contractual Transfers,Southern California,San Bernardino Valley Municipal Water District,2025,2,4,#DFFF00,273
207,Contractual Transfers,Southern California,San Gabriel Valley Municipal Water District,2025,2,4,#DFFF00,273
208,Contractual Transfers,Southern California,San Gorgonio Pass Water Agency,2025,2,4,#DFFF00,273
209,Contractual Transfers,Southern California,Ventura County Watershed Protection District,2025,2,4,#DFFF00,273
210,Recycling,Central Valley - Sacramento Valley,City of Folsom,2025,3,5,#6495ED,83
211,Recycling,Central Valley - Sacramento Valley,City of Redding,2025,3,5,#6495ED,83
212,Recycling,Central Valley - Sacramento Valley,City of Roseville,2025,3,5,#6495ED,72
213,Recycling,Central Valley - Sacramento Valley,City of West Sacramento,2025,3,5,#6495ED,37
214,Recycling,Central Valley - Sacramento Valley,Yuba City,2025,3,5,#6495ED,34
215,Recycling,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,3,5,#6495ED,40
216,Recycling,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,3,5,#6495ED,15
217,Recycling,Central Valley - Sacramento Valley,Placer County Water Agency,2025,3,5,#6495ED,11
218,Recycling,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,3,5,#6495ED,69
219,Recycling,Central Valley - Sacramento Valley,San Juan Water District,2025,3,5,#6495ED,4
220,Recycling,Central Valley - Sacramento Valley,Shasta Contractors,2025,3,5,#6495ED,66
221,Recycling,Central Valley - Sacramento Valley,Solano County Water Agency,2025,3,5,#6495ED,31
222,Recycling,Central Valley - San Joaquin Valley,City of Avenal,2025,3,5,#6495ED,28
223,Recycling,Central Valley - San Joaquin Valley,City of Coalinga,2025,3,5,#6495ED,25
224,Recycling,Central Valley - San Joaquin Valley,City of Fresno,2025,3,5,#6495ED,18
225,Recycling,Central Valley - San Joaquin Valley,City of Huron,2025,3,5,#6495ED,80
226,Recycling,Central Valley - San Joaquin Valley,City of Lindsay,2025,3,5,#6495ED,52
227,Recycling,Central Valley - San Joaquin Valley,City of Orange Cove,2025,3,5,#6495ED,1
228,Recycling,Central Valley - San Joaquin Valley,City of Tracy,2025,3,5,#6495ED,21
229,Recycling,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,3,5,#6495ED,55
230,Recycling,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,3,5,#6495ED,7
231,Recycling,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,3,5,#6495ED,48
232,Recycling,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,3,5,#6495ED,83
233,Recycling,San Francisco Bay Area,Alameda County Water District,2025,3,5,#6495ED,83
234,Recycling,San Francisco Bay Area,Contra Costa Water District,2025,3,5,#6495ED,83
235,Recycling,San Francisco Bay Area,East Bay Municipal Utilities District,2025,3,5,#6495ED,83
236,Recycling,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,3,5,#6495ED,83
237,Recycling,San Francisco Bay Area,Santa Clara Valley Water District,2025,3,5,#6495ED,83
238,Recycling,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,3,5,#6495ED,83
239,Recycling,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,3,5,#6495ED,83
240,Recycling,Southern California,Antelope Valley-East Kern Water Agency,2025,3,5,#6495ED,83
241,Recycling,Southern California,Santa Clarita Water Division,2025,3,5,#6495ED,83
242,Recycling,Southern California,Coachella Valley Water District,2025,3,5,#6495ED,83
243,Recycling,Southern California,Crestline-Lake Arrowhead Water Agency,2025,3,5,#6495ED,83
244,Recycling,Southern California,Desert Water Agency,2025,3,5,#6495ED,83
245,Recycling,Southern California,Metropolitan Water District of Southern California,2025,3,5,#6495ED,83
246,Recycling,Southern California,Mojave Water Agency,2025,3,5,#6495ED,83
247,Recycling,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,3,5,#6495ED,83
248,Recycling,Southern California,San Bernardino Valley Municipal Water District,2025,3,5,#6495ED,83
249,Recycling,Southern California,San Gabriel Valley Municipal Water District,2025,3,5,#6495ED,83
250,Recycling,Southern California,San Gorgonio Pass Water Agency,2025,3,5,#6495ED,83
251,Recycling,Southern California,Ventura County Watershed Protection District,2025,3,5,#6495ED,83
252,Potable Reuse,Central Valley - Sacramento Valley,City of Folsom,2025,3,6,#CCCCFF,463
253,Potable Reuse,Central Valley - Sacramento Valley,City of Redding,2025,3,6,#CCCCFF,463
254,Potable Reuse,Central Valley - Sacramento Valley,City of Roseville,2025,3,6,#CCCCFF,463
255,Potable Reuse,Central Valley - Sacramento Valley,City of West Sacramento,2025,3,6,#CCCCFF,463
256,Potable Reuse,Central Valley - Sacramento Valley,Yuba City,2025,3,6,#CCCCFF,463
257,Potable Reuse,Central Valley - Sacramento Valley,El Dorado Irrigation District,2025,3,6,#CCCCFF,463
258,Potable Reuse,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2025,3,6,#CCCCFF,463
259,Potable Reuse,Central Valley - Sacramento Valley,Placer County Water Agency,2025,3,6,#CCCCFF,463
260,Potable Reuse,Central Valley - Sacramento Valley,Sacramento County Water Agency,2025,3,6,#CCCCFF,463
261,Potable Reuse,Central Valley - Sacramento Valley,San Juan Water District,2025,3,6,#CCCCFF,463
262,Potable Reuse,Central Valley - Sacramento Valley,Shasta Contractors,2025,3,6,#CCCCFF,463
263,Potable Reuse,Central Valley - Sacramento Valley,Solano County Water Agency,2025,3,6,#CCCCFF,463
264,Potable Reuse,Central Valley - San Joaquin Valley,City of Avenal,2025,3,6,#CCCCFF,463
265,Potable Reuse,Central Valley - San Joaquin Valley,City of Coalinga,2025,3,6,#CCCCFF,463
266,Potable Reuse,Central Valley - San Joaquin Valley,City of Fresno,2025,3,6,#CCCCFF,463
267,Potable Reuse,Central Valley - San Joaquin Valley,City of Huron,2025,3,6,#CCCCFF,463
268,Potable Reuse,Central Valley - San Joaquin Valley,City of Lindsay,2025,3,6,#CCCCFF,463
269,Potable Reuse,Central Valley - San Joaquin Valley,City of Orange Cove,2025,3,6,#CCCCFF,463
270,Potable Reuse,Central Valley - San Joaquin Valley,City of Tracy,2025,3,6,#CCCCFF,463
271,Potable Reuse,Central Valley - San Joaquin Valley,Kern County Water Agency,2025,3,6,#CCCCFF,463
272,Potable Reuse,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2025,3,6,#CCCCFF,463
273,Potable Reuse,Central Valley - San Joaquin Valley,Stockton-East Water District,2025,3,6,#CCCCFF,463
274,Potable Reuse,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2025,3,6,#CCCCFF,463
275,Potable Reuse,San Francisco Bay Area,Alameda County Water District,2025,3,6,#CCCCFF,463
276,Potable Reuse,San Francisco Bay Area,Contra Costa Water District,2025,3,6,#CCCCFF,463
277,Potable Reuse,San Francisco Bay Area,East Bay Municipal Utilities District,2025,3,6,#CCCCFF,463
278,Potable Reuse,San Francisco Bay Area,"San Benito County Water District, Zone 6",2025,3,6,#CCCCFF,463
279,Potable Reuse,San Francisco Bay Area,Santa Clara Valley Water District,2025,3,6,#CCCCFF,463
280,Potable Reuse,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2025,3,6,#CCCCFF,463
281,Potable Reuse,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2025,3,6,#CCCCFF,463
282,Potable Reuse,Southern California,Antelope Valley-East Kern Water Agency,2025,3,6,#CCCCFF,463
283,Potable Reuse,Southern California,Santa Clarita Water Division,2025,3,6,#CCCCFF,463
284,Potable Reuse,Southern California,Coachella Valley Water District,2025,3,6,#CCCCFF,463
285,Potable Reuse,Southern California,Crestline-Lake Arrowhead Water Agency,2025,3,6,#CCCCFF,463
286,Potable Reuse,Southern California,Desert Water Agency,2025,3,6,#CCCCFF,463
287,Potable Reuse,Southern California,Metropolitan Water District of Southern California,2025,3,6,#CCCCFF,463
288,Potable Reuse,Southern California,Mojave Water Agency,2025,3,6,#CCCCFF,463
289,Potable Reuse,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2025,3,6,#CCCCFF,463
290,Potable Reuse,Southern California,San Bernardino Valley Municipal Water District,2025,3,6,#CCCCFF,463
