Type,Study Region,Contractor,2025,2030,2035,2040,2045
Groundwater,Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2
Groundwater,Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2
Groundwater,Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2
Groundwater,Southern California,Ventura County Watershed Protection District,2,2,2,2,2
Desalination,Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3
Desalination,Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3
Desalination,Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3
Desalination,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3
Desalination,San Francisco Bay Area,Alameda County Water District,3,3,3,3,3
Desalination,San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3
Desalination,San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3
Desalination,San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3
Desalination,San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3
Desalination,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3
Desalination,Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3
Desalination,Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3
Desalination,Southern California,Santa Clarita Water Division,3,3,3,3,3
Desalination,Southern California,Coachella Valley Water District,3,3,3,3,3
Desalination,Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3
Desalination,Southern California,Desert Water Agency,3,3,3,3,3
Desalination,Southern California,Metropolitan Water District of Southern California,3,3,3,3,3
Desalination,Southern California,Mojave Water Agency,3,3,3,3,3
Desalination,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3
Desalination,Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3
Desalination,Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3
Desalination,Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3
Desalination,Southern California,Ventura County Watershed Protection District,3,3,3,3,3
Stormwater Capture,Central Valley - Sacramento Valley,City of Folsom,1,"28,527.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,City of Redding,1,"24,241.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,City of Roseville,1,"51,333.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,City of West Sacramento,1,"19,397.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Yuba City,1,"24,177.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,El Dorado Irrigation District,1,"50,697.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,"21,400.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Placer County Water Agency,1,"154,954.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Sacramento County Water Agency,1,"63,288.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,San Juan Water District,1,"70,314.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Shasta Contractors,1,"10,942.00",1,1,1
Stormwater Capture,Central Valley - Sacramento Valley,Solano County Water Agency,1,"229,293.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Avenal,1,"3,500.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Coalinga,1,"10,000.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Fresno,1,"274,100.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Huron,1,"3,000.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Lindsay,1,"2,689.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Orange Cove,1,"2,790.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,City of Tracy,1,"26,750.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,Kern County Water Agency,1,"64,075.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,"6,000.00",1,1,1
Stormwater Capture,Central Valley - San Joaquin Valley,Stockton-East Water District,1,"73,257.00",1,1,1
Stormwater Capture,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,"75,500.00",1,1,1
Stormwater Capture,San Francisco Bay Area,Alameda County Water District,1,"71,800.00",1,1,1
Stormwater Capture,San Francisco Bay Area,Contra Costa Water District,1,"215,471.00",1,1,1
Stormwater Capture,San Francisco Bay Area,East Bay Municipal Utilities District,1,"248,000.00",1,1,1
Stormwater Capture,San Francisco Bay Area,"San Benito County Water District, Zone 6",1,"6,425.00",1,1,1
Stormwater Capture,San Francisco Bay Area,Santa Clara Valley Water District,1,"409,370.00",1,1,1
Stormwater Capture,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,"8,730.00",1,1,1
Stormwater Capture,Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,"76,464.00",1,1,1
Stormwater Capture,Southern California,Antelope Valley-East Kern Water Agency,1,"85,940.00",1,1,1
Stormwater Capture,Southern California,Santa Clarita Water Division,1,"105,313.00",1,1,1
Stormwater Capture,Southern California,Coachella Valley Water District,1,"188,500.00",1,1,1
Stormwater Capture,Southern California,Crestline-Lake Arrowhead Water Agency,1,"2,250.00",1,1,1
Stormwater Capture,Southern California,Desert Water Agency,1,"47,268.00",1,1,1
Stormwater Capture,Southern California,Metropolitan Water District of Southern California,1,"4,455,000.00",1,1,1
Stormwater Capture,Southern California,Mojave Water Agency,1,"159,079.00",1,1,1
Stormwater Capture,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,"30,186.00",1,1,1
Stormwater Capture,Southern California,San Bernardino Valley Municipal Water District,1,"305,447.00",1,1,1
Stormwater Capture,Southern California,San Gabriel Valley Municipal Water District,1,"50,950.00",1,1,1
Stormwater Capture,Southern California,San Gorgonio Pass Water Agency,1,"66,420.00",1,1,1
Stormwater Capture,Southern California,Ventura County Watershed Protection District,1,"5,000.00",1,1,1
Contractual Transfers,Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Shasta Contractors,2,2,2,2,2
Contractual Transfers,Central Valley - Sacramento Valley,Solano County Water Agency,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Avenal,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Coalinga,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Fresno,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Huron,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Lindsay,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Orange Cove,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2
Contractual Transfers,Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,Alameda County Water District,2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2
Contractual Transfers,San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2
Contractual Transfers,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2
Contractual Transfers,Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2
Contractual Transfers,Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2
Contractual Transfers,Southern California,Santa Clarita Water Division,2,2,2,2,2
Contractual Transfers,Southern California,Coachella Valley Water District,2,2,2,2,2
Contractual Transfers,Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2
Contractual Transfers,Southern California,Desert Water Agency,2,2,2,2,2
Contractual Transfers,Southern California,Metropolitan Water District of Southern California,2,2,2,2,2
Contractual Transfers,Southern California,Mojave Water Agency,2,2,2,2,2
Contractual Transfers,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2
Contractual Transfers,Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2
Contractual Transfers,Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2
Contractual Transfers,Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2
Contractual Transfers,Southern California,Ventura County Watershed Protection District,2,2,2,2,2
Recycling,Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3
Recycling,Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3
Recycling,Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3
Recycling,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3
Recycling,San Francisco Bay Area,Alameda County Water District,3,3,3,3,3
Recycling,San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3
Recycling,San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3
Recycling,San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3
Recycling,San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3
Recycling,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3
Recycling,Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3
Recycling,Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3
Recycling,Southern California,Santa Clarita Water Division,3,3,3,3,3
Recycling,Southern California,Coachella Valley Water District,3,3,3,3,3
Recycling,Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3
Recycling,Southern California,Desert Water Agency,3,3,3,3,3
Recycling,Southern California,Metropolitan Water District of Southern California,3,3,3,3,3
Recycling,Southern California,Mojave Water Agency,3,3,3,3,3
Recycling,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3
Recycling,Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3
Recycling,Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3
Recycling,Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3
Recycling,Southern California,Ventura County Watershed Protection District,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3
Potable Reuse,Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3
Potable Reuse,Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3
Potable Reuse,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3
Potable Reuse,San Francisco Bay Area,Alameda County Water District,3,3,3,3,3
Potable Reuse,San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3
Potable Reuse,San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3
Potable Reuse,San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3
Potable Reuse,San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3
Potable Reuse,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3
Potable Reuse,Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3
Potable Reuse,Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3
Potable Reuse,Southern California,Santa Clarita Water Division,3,3,3,3,3
Potable Reuse,Southern California,Coachella Valley Water District,3,3,3,3,3
Potable Reuse,Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3
Potable Reuse,Southern California,Desert Water Agency,3,3,3,3,3
Potable Reuse,Southern California,Metropolitan Water District of Southern California,3,3,3,3,3
Potable Reuse,Southern California,Mojave Water Agency,3,3,3,3,3
Potable Reuse,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3
Potable Reuse,Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3
Potable Reuse,Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3
Potable Reuse,Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3
Potable Reuse,Southern California,Ventura County Watershed Protection District,3,3,3,3,3
