<<<<<<< HEAD
﻿Supply,Study Region,Contractor,2025,2030,2035,2040,2045,Notes,Supply Type
Normal or Better Year (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,Desert Water Agency,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,Mojave Water Agency,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,,Desalination
Normal or Better Year (acre-feet/year),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,Alameda County Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Santa Clarita Water Division,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Coachella Valley Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Desert Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Mojave Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,,Desalination
Single Dry-Year (acre-feet/year),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,Alameda County Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Santa Clarita Water Division,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Coachella Valley Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Desert Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Mojave Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,,Desalination
Multiple Dry-Year (acre-feet/year),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,,Desalination
=======
﻿Supply,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,Alameda County Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,1,
Desalination Supply (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Santa Clarita Water Division,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Coachella Valley Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Desert Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Metropolitan Water District of Southern California,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Mojave Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,1,
Desalination Supply (acre-feet/year),Southern California,Ventura County Watershed Protection District,1,1,1,1,1,
>>>>>>> 8074bda5f8dd68eed64e4b59c48f0ec4d914c28a
