Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Fraction of single family residential use that is interior (%),Southern California,San Gorgonio Pass Water Agency,64,64,64,64,64,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Folsom,67,67,67,67,67,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Redding,62,62,62,62,62,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,City of Roseville,66,66,66,66,66,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,City of West Sacramento,68,68,68,68,68,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,Yuba City,71,71,71,71,71,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,68,68,68,68,68,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,Placer County Water Agency,66,66,66,66,66,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,67,67,67,67,67,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - Sacramento Valley,San Juan Water District,66,66,66,66,66,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Coalinga,62,62,62,62,62,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Fresno,62,62,62,62,62,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - San Joaquin Valley,City of Tracy,78,78,78,78,78,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Valley - San Joaquin Valley,Stockton-East Water District,78,78,78,78,78,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",0,0,0,0,0,
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,Alameda County Water District,77,77,77,77,77,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,Contra Costa Water District,80,80,80,80,80,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,East Bay Municipal Utilities District,79,79,79,79,79,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",63,63,63,63,63,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),San Francisco Bay Area,Santa Clara Valley Water District,72,72,72,72,72,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,88,88,88,88,88,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,Antelope Valley-East Kern Water Agency,65,65,65,65,65,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,Santa Clarita Water Division,68,68,68,68,68,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,Metropolitan Water District of Southern California,82,82,82,82,82,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,Mojave Water Agency,77,77,77,77,77,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,68,68,68,68,68,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,San Bernardino Valley Municipal Water District,77,77,77,77,77,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of multi-family residential use that is interior (%),Southern California,San Gorgonio Pass Water Agency,85,85,85,85,85,"2018 County Total Water Use Data (DWR Bulletin 160 Update Program, 2022)"
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,City of Folsom,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,City of Redding,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,City of Roseville,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,City of West Sacramento,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,Yuba City,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,Placer County Water Agency,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - Sacramento Valley,San Juan Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - San Joaquin Valley,City of Coalinga,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - San Joaquin Valley,City of Fresno,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - San Joaquin Valley,City of Tracy,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Valley - San Joaquin Valley,Stockton-East Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,Alameda County Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,Contra Costa Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,East Bay Municipal Utilities District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),San Francisco Bay Area,Santa Clara Valley Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,Antelope Valley-East Kern Water Agency,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,Santa Clarita Water Division,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,Metropolitan Water District of Southern California,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,Mojave Water Agency,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,San Bernardino Valley Municipal Water District,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of commercial use that is interior (%),Southern California,San Gorgonio Pass Water Agency,84,84,84,84,84,WaterSense Commercial End Use (WaterSense U.S. Environmental Protection Agency 2017)
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,City of Folsom,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,City of Redding,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,City of Roseville,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,City of West Sacramento,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,Yuba City,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,Placer County Water Agency,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - Sacramento Valley,San Juan Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - San Joaquin Valley,City of Coalinga,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - San Joaquin Valley,City of Fresno,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - San Joaquin Valley,City of Tracy,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Valley - San Joaquin Valley,Stockton-East Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,Alameda County Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,Contra Costa Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,East Bay Municipal Utilities District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),San Francisco Bay Area,Santa Clara Valley Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,Antelope Valley-East Kern Water Agency,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,Santa Clarita Water Division,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,Metropolitan Water District of Southern California,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,Mojave Water Agency,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,San Bernardino Valley Municipal Water District,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
Fraction of industrial use that is interior (%),Southern California,San Gorgonio Pass Water Agency,95,95,95,95,95,"US EPA Lean & Water Toolkit Water Use and Water Waste at Industrial Facilities (US EPA, 2011)"
