Conservation,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Single-family residential customer cut ratio (%),San Francisco Bay Area,Contra Costa Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,60,60,60,60,60,
Single-family residential customer cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",60,60,60,60,60,
Single-family residential customer cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Santa Clarita Water Division,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Coachella Valley Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Desert Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Metropolitan Water District of Southern California,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Mojave Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,San Gorgonio Pass Water Agency,60,60,60,60,60,
Single-family residential customer cut ratio (%),Southern California,Ventura County Watershed Protection District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Redding,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Yuba City,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,Alameda County Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,Contra Costa Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",60,60,60,60,60,
Multi-family residential customer cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Santa Clarita Water Division,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Coachella Valley Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Desert Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Metropolitan Water District of Southern California,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Mojave Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,San Gorgonio Pass Water Agency,60,60,60,60,60,
Multi-family residential customer cut ratio (%),Southern California,Ventura County Watershed Protection District,60,60,60,60,60,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,City of Redding,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Yuba City,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,25,25,25,25,25,
Industrial customer cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,Alameda County Water District,25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,Contra Costa Water District,25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",25,25,25,25,25,
Industrial customer cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,25,25,25,25,25,
Industrial customer cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,25,25,25,25,25,
Industrial customer cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Santa Clarita Water Division,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Coachella Valley Water District,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Desert Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Metropolitan Water District of Southern California,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Mojave Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,San Gorgonio Pass Water Agency,25,25,25,25,25,
Industrial customer cut ratio (%),Southern California,Ventura County Watershed Protection District,25,25,25,25,25,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,City of Redding,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Yuba City,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,55,55,55,55,55,
Commercial customer cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,Alameda County Water District,55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,Contra Costa Water District,55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",55,55,55,55,55,
Commercial customer cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,55,55,55,55,55,
Commercial customer cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,55,55,55,55,55,
Commercial customer cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Santa Clarita Water Division,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Coachella Valley Water District,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Desert Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Metropolitan Water District of Southern California,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Mojave Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,San Gorgonio Pass Water Agency,55,55,55,55,55,
Commercial customer cut ratio (%),Southern California,Ventura County Watershed Protection District,55,55,55,55,55,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,City of Folsom,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,City of Redding,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,City of Roseville,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,City of West Sacramento,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Yuba City,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Placer County Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,San Juan Water District,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Shasta Contractors,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - Sacramento Valley,Solano County Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Avenal,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Coalinga,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Fresno,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Huron,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Lindsay,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Orange Cove,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,City of Tracy,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,Kern County Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,160,160,160,160,160,
Landscape customer cut ratio (%),Central Valley - San Joaquin Valley,Stockton-East Water District,160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,Alameda County Water District,160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,Contra Costa Water District,160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,East Bay Municipal Utilities District,160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",160,160,160,160,160,
Landscape customer cut ratio (%),San Francisco Bay Area,Santa Clara Valley Water District,160,160,160,160,160,
Landscape customer cut ratio (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,160,160,160,160,160,
Landscape customer cut ratio (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Antelope Valley-East Kern Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Santa Clarita Water Division,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Coachella Valley Water District,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Crestline-Lake Arrowhead Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Desert Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Metropolitan Water District of Southern California,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Mojave Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,San Bernardino Valley Municipal Water District,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,San Gabriel Valley Municipal Water District,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,San Gorgonio Pass Water Agency,160,160,160,160,160,
Landscape customer cut ratio (%),Southern California,Ventura County Watershed Protection District,160,160,160,160,160,
Rationing program threshold (%),Central Valley - Sacramento Valley,City of Folsom,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,City of Redding,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,City of Roseville,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,City of West Sacramento,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Yuba City,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,El Dorado Irrigation District,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Placer County Water Agency,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Sacramento County Water Agency,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,San Juan Water District,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Shasta Contractors,80,80,80,80,80,
Rationing program threshold (%),Central Valley - Sacramento Valley,Solano County Water Agency,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Avenal,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Coalinga,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Fresno,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Huron,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Lindsay,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Orange Cove,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,City of Tracy,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,Kern County Water Agency,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,80,80,80,80,80,
Rationing program threshold (%),Central Valley - San Joaquin Valley,Stockton-East Water District,80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,Alameda County Water District,80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,Contra Costa Water District,80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,East Bay Municipal Utilities District,80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,"San Benito County Water District, Zone 6",80,80,80,80,80,
Rationing program threshold (%),San Francisco Bay Area,Santa Clara Valley Water District,80,80,80,80,80,
Rationing program threshold (%),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,80,80,80,80,80,
Rationing program threshold (%),Central Coast,Santa Barbara County Flood Control & Water Conservation District,80,80,80,80,80,
Rationing program threshold (%),Southern California,Antelope Valley-East Kern Water Agency,80,80,80,80,80,
Rationing program threshold (%),Southern California,Santa Clarita Water Division,80,80,80,80,80,
