Variable,Contractor,2025,2030,2035,2040,2045,Notes
Demand Hardening Factor (%),Metropolitan Water District of Southern California,50,50,50,50,50,
Demand Hardening Factor (%),Mojave Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),Palmdale Water District & Littlerock Creek Irrigation District,50,50,50,50,50,
Demand Hardening Factor (%),San Bernardino Valley Municipal Water District,50,50,50,50,50,
Demand Hardening Factor (%),San Gabriel Valley Municipal Water District,50,50,50,50,50,
Demand Hardening Factor (%),San Gorgonio Pass Water Agency,50,50,50,50,50,
Demand Hardening Factor (%),Ventura County Watershed Protection District,50,50,50,50,50,
Retail Price ($/AF),Butte County,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Folsom,733.981322,852.9314743,991.158873,1151.787618,1338.448108,
Retail Price ($/AF),City of Redding,713.7335614,829.4023302,963.8165593,1120.014167,1301.525401,
Retail Price ($/AF),City of Roseville,678.2999804,788.226328,915.9675102,1064.410627,1236.910665,
Retail Price ($/AF),City of West Sacramento,1209.803696,1405.866361,1633.703246,1898.46373,2206.131708,
Retail Price ($/AF),Yuba City,931.3969879,1082.34063,1257.746432,1461.578771,1698.444495,
Retail Price ($/AF),El Dorado Irrigation District,942.5332563,1095.281659,1272.784704,1479.054169,1718.751984,
Retail Price ($/AF),Napa County Flood Control & Water Conservation District,2374.049931,2758.792148,3205.886286,3725.437193,4329.187327,
Retail Price ($/AF),Placer County Water Agency,895.9634069,1041.164627,1209.897383,1405.975231,1633.829759,
Retail Price ($/AF),Sacramento County Water Agency,845.3440054,982.341767,1141.541599,1326.541602,1541.522993,
Retail Price ($/AF),San Juan Water District,465.698494,541.1703148,628.873216,730.7893855,849.2222476,
Retail Price ($/AF),Shasta Contractors,1452.776824,1688.216091,1961.811011,2279.745148,2649.204185,
Retail Price ($/AF),Solano County Water Agency,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Avenal,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Coalinga,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Fresno,880.7775864,1023.517769,1189.390648,1382.145142,1606.137729,
Retail Price ($/AF),City of Huron,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Lindsay,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Orange Cove,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),City of Tracy,1055.414522,1226.456637,1425.218104,1656.191162,1924.596072,
Retail Price ($/AF),Kern County Water Agency Improvement District No 4,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Other Friant-Kern M&I Contractors,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Stockton-East Water District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),"Alameda County Flood Control and Water Conservation District, Zone 7",9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Alameda County Water District,2326.467694,2703.498659,3141.631848,3650.769582,4242.418967,
Retail Price ($/AF),Contra Costa Water District,2487.842346,2891.025938,3359.550089,3904.003991,4536.692938,
Retail Price ($/AF),East Bay Municipal Utilities District,2961.234989,3441.137328,3998.813384,4646.867288,5399.945814,
Retail Price ($/AF),"San Benito County Water District, Zone 6",9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Santa Clara Valley Water District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),San Luis Obispo County Flood Control & Water Conservation District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Santa Barbara County Flood Control & Water Conservation District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Antelope Valley-East Kern Water Agency,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Santa Clarita Water Division,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Coachella Valley Water District,594.7779678,691.1686085,803.180466,933.3451391,1084.604501,
Retail Price ($/AF),Crestline-Lake Arrowhead Water Agency,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Desert Water Agency,1052.883552,1223.515494,1421.800314,1652.21948,1919.980734,
Retail Price ($/AF),Metropolitan Water District of Southern California,1185,1185,1185,1185,1185,
Retail Price ($/AF),Mojave Water Agency,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Palmdale Water District & Littlerock Creek Irrigation District,663.1141599,770.5794699,895.4607749,1040.580538,1209.218635,
Retail Price ($/AF),San Bernardino Valley Municipal Water District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),San Gabriel Valley Municipal Water District,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),San Gorgonio Pass Water Agency,9999999,9999999,9999999,9999999,9999999,
Retail Price ($/AF),Ventura County Watershed Protection District,9999999,9999999,9999999,9999999,9999999,
