Type,Study Region,Contractor,2025,2030,2035,2040,2045
CVP (Article 215),Central Valley - San Joaquin Valley,City of Orange Cove,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,City of Tracy,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,Kern County Water Agency,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,82,82,82,82,82
CVP (Article 215),Central Valley - San Joaquin Valley,Stockton-East Water District,82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,Alameda County Water District,82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,Contra Costa Water District,82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,East Bay Municipal Utilities District,82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,"San Benito County Water District, Zone 6",82,82,82,82,82
CVP (Article 215),San Francisco Bay Area,Santa Clara Valley Water District,82,82,82,82,82
CVP (Article 215),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,82,82,82,82,82
CVP (Article 215),Central Coast,Santa Barbara County Flood Control & Water Conservation District,82,82,82,82,82
CVP (Article 215),Southern California,Antelope Valley-East Kern Water Agency,82,82,82,82,82
CVP (Article 215),Southern California,Santa Clarita Water Division,82,82,82,82,82
CVP (Article 215),Southern California,Coachella Valley Water District,82,82,82,82,82
CVP (Article 215),Southern California,Crestline-Lake Arrowhead Water Agency,82,82,82,82,82
CVP (Article 215),Southern California,Desert Water Agency,82,82,82,82,82
CVP (Article 215),Southern California,Metropolitan Water District of Southern California,82,82,82,82,82
CVP (Article 215),Southern California,Mojave Water Agency,82,82,82,82,82
CVP (Article 215),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,82,82,82,82,82
CVP (Article 215),Southern California,San Bernardino Valley Municipal Water District,82,82,82,82,82
CVP (Article 215),Southern California,San Gabriel Valley Municipal Water District,82,82,82,82,82
CVP (Article 215),Southern California,San Gorgonio Pass Water Agency,82,82,82,82,82
CVP (Article 215),Southern California,Ventura County Watershed Protection District,82,82,82,82,82
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,City of Folsom,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,City of Redding,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,City of Roseville,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,City of West Sacramento,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Yuba City,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,El Dorado Irrigation District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Placer County Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Sacramento County Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,San Juan Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Shasta Contractors,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - Sacramento Valley,Solano County Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Avenal,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Coalinga,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Fresno,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Huron,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Lindsay,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Orange Cove,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,City of Tracy,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,Kern County Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Valley - San Joaquin Valley,Stockton-East Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,Alameda County Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,Contra Costa Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,East Bay Municipal Utilities District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,"San Benito County Water District, Zone 6",77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),San Francisco Bay Area,Santa Clara Valley Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Central Coast,Santa Barbara County Flood Control & Water Conservation District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Antelope Valley-East Kern Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Santa Clarita Water Division,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Coachella Valley Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Crestline-Lake Arrowhead Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Desert Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Metropolitan Water District of Southern California,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Mojave Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,San Bernardino Valley Municipal Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,San Gabriel Valley Municipal Water District,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,San Gorgonio Pass Water Agency,77,77,77,77,77
Other Imported (Colorado and/or LA Aqueduct),Southern California,Ventura County Watershed Protection District,77,77,77,77,77
