,Type,Study Region,Contractor,Year,Value,k_labels,colors
394,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2040,1,2,#F63366
395,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2040,1,2,#F63366
396,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2040,1,2,#F63366
397,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2040,1,2,#F63366
398,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2040,1,2,#F63366
399,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2040,1,2,#F63366
400,Recycling Supply (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2040,1,2,#F63366
401,Recycling Supply (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2040,1,2,#F63366
402,Recycling Supply (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2040,1,2,#F63366
403,Recycling Supply (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2040,1,2,#F63366
404,Recycling Supply (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2040,1,2,#F63366
405,Recycling Supply (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2040,1,2,#F63366
406,Recycling Supply (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2040,1,2,#F63366
407,Recycling Supply (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2040,1,2,#F63366
408,Recycling Supply (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2040,1,2,#F63366
409,Recycling Supply (acre-feet/year),Southern California,Santa Clarita Water Division,2040,1,2,#F63366
410,Recycling Supply (acre-feet/year),Southern California,Coachella Valley Water District,2040,1,2,#F63366
411,Recycling Supply (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2040,1,2,#F63366
412,Recycling Supply (acre-feet/year),Southern California,Desert Water Agency,2040,1,2,#F63366
413,Recycling Supply (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2040,1,2,#F63366
414,Recycling Supply (acre-feet/year),Southern California,Mojave Water Agency,2040,1,2,#F63366
415,Recycling Supply (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2040,1,2,#F63366
416,Recycling Supply (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2040,1,2,#F63366
417,Recycling Supply (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2040,1,2,#F63366
418,Recycling Supply (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2040,1,2,#F63366
419,Recycling Supply (acre-feet/year),Southern California,Ventura County Watershed Protection District,2040,1,2,#F63366
504,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2045,1,0,#F63366
505,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2045,1,0,#F63366
506,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2045,1,0,#F63366
507,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2045,1,0,#F63366
508,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2045,1,0,#F63366
509,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2045,1,0,#F63366
510,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2045,1,0,#F63366
511,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2045,1,0,#F63366
512,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2045,1,0,#F63366
513,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2045,1,0,#F63366
514,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2045,1,0,#F63366
515,Recycling Supply (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2045,1,0,#F63366
516,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2045,1,0,#F63366
517,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2045,1,0,#F63366
518,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2045,1,0,#F63366
519,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2045,1,0,#F63366
520,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2045,1,0,#F63366
521,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2045,1,0,#F63366
522,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2045,1,0,#F63366
523,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2045,1,0,#F63366
524,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2045,1,0,#F63366
525,Recycling Supply (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2045,1,0,#F63366
526,Recycling Supply (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2045,1,0,#F63366
527,Recycling Supply (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2045,1,0,#F63366
528,Recycling Supply (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2045,1,0,#F63366
529,Recycling Supply (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2045,1,0,#F63366
530,Recycling Supply (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2045,1,0,#F63366
531,Recycling Supply (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2045,1,0,#F63366
532,Recycling Supply (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2045,1,0,#F63366
533,Recycling Supply (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2045,1,0,#F63366
534,Recycling Supply (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2045,1,0,#F63366
535,Recycling Supply (acre-feet/year),Southern California,Santa Clarita Water Division,2045,1,0,#F63366
536,Recycling Supply (acre-feet/year),Southern California,Coachella Valley Water District,2045,1,0,#F63366
537,Recycling Supply (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2045,1,0,#F63366
538,Recycling Supply (acre-feet/year),Southern California,Desert Water Agency,2045,1,0,#F63366
539,Recycling Supply (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2045,1,0,#F63366
540,Recycling Supply (acre-feet/year),Southern California,Mojave Water Agency,2045,1,0,#F63366
541,Recycling Supply (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2045,1,0,#F63366
542,Recycling Supply (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2045,1,0,#F63366
543,Recycling Supply (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2045,1,0,#F63366
544,Recycling Supply (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2045,1,0,#F63366
545,Recycling Supply (acre-feet/year),Southern California,Ventura County Watershed Protection District,2045,1,0,#F63366
